#{"t_start": 1767787310.158633, "env_id": "None"}
r,l,t
32.318563,69,2171.782209
29.866718,86,2172.904564
24.300053,108,2174.295295
27.385192,86,2175.466669
46.787001,37,2176.178255
-12.66491,132,2177.801785
35.804156,71,2178.756334
-133.883023,266,2181.969587
-30.230615,148,2183.746158
45.385833,89,2184.916424
26.462552,84,2186.013043
51.447097,30,2186.538635
34.76693,102,2187.94966
39.838478,71,2188.916506
-10.291382,123,2190.591073
20.402941,94,2191.793994
49.352262,42,2192.543959
30.512524,99,2193.900026
-129.348755,217,2196.52746
9.175982,123,2198.156453
26.466032,88,2199.409199
15.490097,171,2201.590372
-189.556293,323,2205.425541
14.736326,90,2206.750085
14.344197,102,2208.137258
14.840097,103,2209.551575
18.740548,94,2210.880044
41.168577,52,2211.643121
-30.272986,155,2213.549116
40.828879,56,2214.366348
41.181113,65,2215.354622
43.796465,182,2217.584769
-55.323543,170,2219.711607
36.666345,72,2220.818298
21.173451,109,2222.168601
-4.96322,120,2223.752979
-78.502283,199,2226.172796
5.400425,168,2228.259115
47.23139,37,2228.953866
45.468786,46,2229.770926
1.894074,115,2231.339771
15.624034,97,2232.58671
36.067153,95,2233.899024
49.358383,38,2234.512285
20.891722,124,2236.119269
8.753881,137,2237.795535
24.150152,117,2239.377439
33.017633,72,2240.37074
34.110793,71,2241.427111
46.187284,53,2242.299302
3.649347,111,2243.785684
-98.43288,208,2246.321587
29.631579,74,2247.453238
-44.555077,155,2249.407419
33.157039,98,2250.748581
23.867763,139,2252.527588
-58.14981,193,2254.798423
-13.910541,149,2256.703624
18.662813,91,2257.97115
-58.117901,170,2260.093636
20.074342,91,2261.371356
42.732109,51,2262.223058
-24.507585,138,2263.942831
47.459272,36,2264.650428
10.488038,105,2265.987021
38.723299,62,2266.953562
42.909314,57,2267.767398
36.396074,63,2268.771169
32.71802,73,2269.890778
25.203415,108,2271.361678
41.274986,56,2272.316744
28.130096,76,2273.336447
36.753358,68,2274.255146
10.04534,98,2275.511371
39.072136,60,2276.455225
25.464286,89,2277.710579
21.445057,88,2278.968498
35.341466,70,2280.064334
36.528694,71,2281.123806
-36.455359,152,2283.079887
-28.254352,197,2285.402585
-19.045554,132,2287.025485
29.052846,95,2288.230011
28.67296,91,2289.508269
19.033849,97,2290.853189
22.634158,79,2292.008627
42.376642,60,2292.847863
47.84683,44,2293.537699
38.322316,60,2294.505617
-9.220238,191,2296.838074
31.6327,77,2297.975366
42.406904,54,2298.90258
38.822114,57,2299.802055
37.90365,63,2300.78135
46.194062,44,2301.561427
-140.142418,112,2310.780997
12.330116,101,2312.166156
-69.974278,202,2314.620958
41.36746,112,2316.130234
1.285954,117,2317.560756
-124.525823,328,2321.450372
-4.988604,118,2323.006903
-29.014132,149,2324.916283
12.559976,91,2326.198176
-5.208151,119,2327.714401
13.810861,128,2329.337878
11.68548,100,2330.743418
26.856535,82,2331.925457
-8.252069,119,2333.386303
48.392121,106,2334.723607
7.49881,92,2336.012529
10.725651,104,2337.327714
13.994509,101,2338.706715
47.840107,42,2339.456359
8.655006,103,2340.859502
38.805133,58,2341.786218
37.455938,67,2342.69862
-28.418589,159,2344.589053
14.96041,155,2346.571365
-9.618997,123,2348.187405
38.578168,66,2349.186329
-203.905588,274,2352.554845
-39.248376,160,2354.575121
5.916507,105,2356.107034
46.447511,44,2356.880007
-10.371827,131,2358.582163
41.038399,55,2359.467443
-31.834002,143,2361.214646
41.011521,55,2362.002472
35.072218,69,2362.940165
43.227611,49,2363.761457
6.367677,109,2365.238704
40.169816,53,2366.118226
50.035915,35,2366.697398
26.213176,83,2367.881041
18.567043,92,2369.245978
-2.528532,115,2370.754013
11.406471,191,2372.989341
-33.052207,168,2375.141932
3.577853,130,2376.874736
8.895609,106,2378.395086
38.805265,60,2379.338456
0.066903,116,2380.777681
42.667882,52,2381.642359
7.206007,108,2383.100485
50.99815,34,2383.673362
46.403473,43,2384.358914
34.693467,70,2385.411052
49.118003,38,2386.017684
42.440563,50,2386.862145
30.129955,70,2387.911514
47.756318,34,2388.590486
13.030718,102,2389.982447
47.258643,37,2390.587803
-72.565577,191,2392.836415
44.735355,131,2394.527273
30.863209,78,2395.556778
32.977541,70,2396.636788
8.145702,117,2398.208352
27.442669,80,2399.352073
48.192084,35,2400.022084
41.532936,128,2401.801164
-41.413139,161,2403.847684
4.859984,113,2405.379267
44.565818,45,2406.072878
-37.302678,153,2407.912405
20.823989,96,2409.144888
15.599845,95,2410.365071
6.453519,102,2411.655406
-233.483371,297,2415.153467
52.537105,27,2415.772464
4.532589,107,2417.284595
32.237837,107,2418.632215
36.802842,62,2419.598744
-140.249584,246,2422.567615
-32.987,173,2424.699992
22.174403,88,2425.830717
29.727124,74,2426.824351
15.601404,107,2428.282732
22.629776,89,2429.537207
10.984661,99,2430.953473
40.954817,58,2431.86994
-77.366441,184,2434.029986
-25.144891,139,2435.817945
45.61078,47,2436.625599
-16.661687,130,2438.317293
-190.903083,275,2441.606623
15.795972,97,2442.875759
33.447624,70,2443.916338
-4.246988,120,2445.528746
40.621432,55,2446.35334
22.550488,93,2447.644044
51.201948,29,2448.258528
-31.954714,145,2450.135444
